video url,,,title,,id,Questions,,,,,Answers,Start ,End ,Categories
https://www.youtube.com/watch?v=aPfkYu_qiF4,,,Deep Learning - Course Introduction,,aPfkYu_qiF4,What is meaning of the deep learning and also signify the importance of deep learning? ,,,,,"it has finds applications in a wide range of area such as speech, computer vision, natural language processing and companies like Google, Facebook etc., use deep learning as the underlying solution.",0:24,0:44,TEX
,,,,,,What is network used in outine to describe the basics of deep learning?,,,,,"multilayered network of neurons, or multilayered perceptron",0:57,1:03,TEX
,,,,,,Which algorithm the lecturer uses to traing these networks? ,,,,,Backpropogation that uses gradient descent,1:08,1:12,TEX
,,,,,,What are the several applications of the feed forward networks?,,,,,AutoEncoders and word2vec,1:14,1:19,TEX
,,,,,,Which data types recurrent neural network mostly worked on?,,,,,Sequential Data,1:38,1:51,TEX
,,,,,,What are some application of the rnn? ,,,,,Sequence Prediction,2:01,2:07,TEX
,,,,,,Which algorithms are used to train RNN?,,,,,Backpropogation through time,2:13,2:20,TEX
,,,,,,Why do we introduce the concept of the LSTMs and GRU?,,,,,To overcome the challenges of rnn,2:29,2:38,TEX
,,,,,,Which neural network is used in vision domain?,,,,,CNN,2:38,2:45,TEX
,,,,,,What are some applications of CNN?,,,,,"Classification,segmentation",2:51,2:55,TEX
,,,,,,What type of data encoder and decoder accepts to do task?,,,,,image or speech or text.,3:32,3:38,TEX
,,,,,,Why do we use attention networks?,,,,,find important words in input,5:09,5:14,TEX
,,,,,,which models use neural networks for probability distributions?,,,,,deep generative models,5:39,5:46,TEX
,,,,,,what is the summary of this video?,,,,,"feed forward NN, RNN, CNN, Encoder-Decoder with attention",6:12,6:22,TEX
,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=4TC5s_xNKSs,,,Deep Learning(CS7015): Lec 1.1 Biological Neuron,,4TC5s_xNKSs,Who and when proposed that the nervous system is a single continious network?,,,,,"Joseph von Gerlach, 1871 -1873",1:30,1:40,LOC
,,,,,,"A/q to Joseph, which cell is sitting in our nervous system?",,,,,gigantic,1:44,1:47,TEX
,,,,,,what is theory he proposed related to single continious network?,,,,,Reticular Theory,1:51,1:54,TEX
,,,,,,Which technique do the Camillo uses to be a proponet of the reticular theory?,,,,,Staining Technique,2:10,2:16,V/T
,,,,,,Who opposed that the nervous system is a single continious network?,,,,,Santiago,2:37,2:50,VLI
,,,,,,Who coined the name neuron and when?,,,,,"Hein-rich, 1891",3:40,3:50,V/K
,,,,,,Who get the jointly noble prizes based on the research on the neurons?,,,,,Golgi and Cajal,4:27,4:47,LOC
,,,,,,When it is confirmed that the nerve cells are the individual cells interconnected through synapses?,,,,,"1950s, electron microscopy",4:59,5:08,LOC
,,,,,,Why do the acknowledgment are given by the authors before start the lecture?,,,,,dates as back as 1871,1:00,1:08,VLI
,,,,,,What does the camillo discovered at first?,,,,,a chemical reaction that would allow you to examine the neurons or the nervous tissue right,2:04,2:10,V/T
,,,,,,Which technique Santiago used?,,,,,Golgi's Technique,2:38,2:42,V/T
,,,,,,Is the neutron doctrine consolidated by the hein rich?,,,,,Yes,3:37,3:41,VLI
,,,,,,for which domain the noble prize is awarded?,,,,,Physiology or Medicine,4:32,4:40,V/K
,,,,,,how is the nerve cells look like after examining throught the electron microscopy,,,,,Unambigiously neuron doctrine,5:18,5:30,V/K
,,,,,,can we relate the working of brain with the neural network?,,,,,yes,6:13,6:18,TEX
,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=WpR8eOLUo9Q,,,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,,WpR8eOLUo9Q,Who purposed a highly simplified models of the neuron?,,,,,McCulloch and Pitts,0:43,0:48,V/T
,,,,,,What are example of some inputs can be given to demonstrate the working of brain? ,,,,,"So now, suppose you want to decide whether you want to go out for a movie or not.
So, you would probably think about, do you really have any exams coming up that could
be our factor X1.
You could think about is a weather good to go out is it raining would it be difficult
to go out at this point.",1:00,1:15,TEX
,,,,,,"which structure may eventually be able to learn, make decisions, and translate languages.",,,,,perceptron,2:37,2:42,V/T
,,,,,,"So, learn and make decisions make sense, but why translate languages in perceptron structures?",,,,,"There was lot of research and translation was actually fuelled by the world war and evens that happened after that where, these countries which were at loggerheads with each other.They wanted to understand what the other country is doing? But they did not speak each other's language. That is why, there was a lot of interest from espionage point of view or from spying and so on to be able to translate languages.",3:03,3:20,VLI
,,,,,,why AI will not take our jobs?,,,,,this is not something new we have been talking about the promise of AI as far back.,4:25,4:32,VLI
,,,,,,Why AI to be much more successful than it was earlier?,,,,,"we have much better compute power now, we have lots of data now and all thanks to the internet, and other things that you can actually crawl tons and tons of data and then try to learn something from a data",4:51,5:03,VLI
,,,,,,what is deep learning about?,,,,,"It is about a large number of artificial neurons connected to each other in layers and functioning
towards achieving certain goal right.",5:46,5:54,V/T
,,,,,,When will the deep learning come into the picture?,,,,,in last 8 to 10 years,6:05,6:07,TEX
,,,,,,Who is founded to be the father of modern deep learning?,,,,,Ivakhnenko,5:25,6:24,V/K
