,video url,title,id,chapter,start,end
0,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Intro,00:14:00,00:42:00
1,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,perceptron,00:52:00,00:57:00
2,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,algorithms for training neural network,01:06:00,01:12:00
3,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Applications of neural network,01:12:00,01:22:00
4,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,RNN,01:23:00,02:30:00
5,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,LSTM&GRU,02:27:00,02:38:00
6,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,CNN,02:39:00,03:22:00
7,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Encoder-Decoder models,03:28:00,04:13:00
8,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Attention network,04:14:00,05:24:00
9,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Deep Generative models,05:37:00,06:12:00
10,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,Summary,06:12:00,06:26:00
13,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,Acknowledgment,01:00:00,01:16:00
14,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,Reticular theory,01:23:00,01:54:00
15,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,Staining Technique,01:54:00,02:34:00
16,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,Neuron Doctrine,02:35:00,03:10:00
17,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,The term Neuron,03:11:00,04:26:00
18,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,Nobel Prize,04:26:00,04:54:00
19,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,The Final Word,04:56:00,06:26:00
22,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,From the spring to the winter of ai,00:18:00,01:38:00
23,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,Model of the how brain works,01:38:00,01:52:00
24,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,Artificial Neuron,01:52:00,04:27:00
25,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,Promise of ai,04:27:00,06:31:00
