,video url,title,id,structure_,structure_segments,end
0,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,INTRO,00:00:00,00:44:00
1,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,OUTLINE,00:44:00,01:20:00
2,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,MAIN_CONTENT,01:20:00,06:12:00
3,https://www.youtube.com/watch?v=aPfkYu_qiF4,Deep Learning - Course Introduction,aPfkYu_qiF4,SUMMARY,06:12:00,06:22:00
5,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,INTRO,00:00:00,03:10:00
6,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,MAIN_CONTENT,03:11:00,04:54:00
7,https://www.youtube.com/watch?v=4TC5s_xNKSs,Deep Learning(CS7015): Lec 1.1 Biological Neuron,4TC5s_xNKSs,SUMMARY,04:54:00,06:26:00
9,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,INTRO,00:00:00,02:00:00
10,https://www.youtube.com/watch?v=WpR8eOLUo9Q,Deep Learning(CS7015): Lec 1.2 From Spring to Winter of AI,WpR8eOLUo9Q,MAIN_CONTENT,02:00:00,10:12:00
12,https://www.youtube.com/watch?v=DpK_i6iA0i0,Deep Learning(CS7015): Lec 1.3 The Deep Revival,DpK_i6iA0i0,INTRO,00:00:00,01:55:00
13,https://www.youtube.com/watch?v=DpK_i6iA0i0,Deep Learning(CS7015): Lec 1.3 The Deep Revival,DpK_i6iA0i0,MAIN_CONTENT,01:55:00,04:53:00
14,https://www.youtube.com/watch?v=DpK_i6iA0i0,Deep Learning(CS7015): Lec 1.3 The Deep Revival,DpK_i6iA0i0,CLOSING,04:53:00,07:26:00
16,https://youtube.com/watch?v=6USgwLa-7ks,Deep Learning(CS7015): Lec 1.4 From Cats to Convolutional Neural Networks,6USgwLa-7ks,INTRO,00:00:00,01:35:00
17,https://youtube.com/watch?v=6USgwLa-7ks,Deep Learning(CS7015): Lec 1.4 From Cats to Convolutional Neural Networks,6USgwLa-7ks,MAIN_CONTENT,01:35:00,02:47:00
18,https://youtube.com/watch?v=6USgwLa-7ks,Deep Learning(CS7015): Lec 1.4 From Cats to Convolutional Neural Networks,6USgwLa-7ks,SUMMARY,02:47:00,03:00:00
20,https://youtube.com/watch?v=0DKOUFrP7xI,"Deep Learning(CS7015): Lec 1.5 Faster, higher, stronger",0DKOUFrP7xI,INTRO,00:00:00,01:12:00
21,https://youtube.com/watch?v=0DKOUFrP7xI,"Deep Learning(CS7015): Lec 1.5 Faster, higher, stronger",0DKOUFrP7xI,MAIN_CONTENT,01:12:00,02:16:00
23,https://www.youtube.com/watch?v=H_ptjlq8pH0,Deep Learning(CS7015): Lec 1.6 The Curious Case of Sequences,H_ptjlq8pH0,INTRO,00:00:00,01:46:00
24,https://www.youtube.com/watch?v=H_ptjlq8pH0,Deep Learning(CS7015): Lec 1.6 The Curious Case of Sequences,H_ptjlq8pH0,MAIN_CONTENT,01:46:00,06:02:00
26,https://www.youtube.com/watch?v=_z27qjHjqiM,Deep Learning(CS7015): Lec 1.7 Beating humans at their own games (literally),_z27qjHjqiM,INTRO,00:00:00,00:46:00
27,https://www.youtube.com/watch?v=_z27qjHjqiM,Deep Learning(CS7015): Lec 1.7 Beating humans at their own games (literally),_z27qjHjqiM,MAIN_CONTENT,00:46:00,01:32:00
